"","ST_CASE","OBJECT_ID","FID","LATITUDE","LONGITUD","PERMVIT","PERSONS","MONTH","DAY_WEEK","HOUR","ROUTE","SP_JUR","HARM_EV","RELJCT1","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER","FATALS","STATE","A_RU","A_INTER","A_TOD","A_DOW","A_CT","A_MC","A_SPCRA","A_PED","A_ROLL","A_POLPUR","A_POSBAC","A_D15_20","A_D65PLS","A_D21_24","A_HR","A_DIST","A_DROWSY","STATE_NAME","drunkDr"
"97",10097,1,22084,33.8332,-86.261,2,2,2,4,7,3,0,12,0,1,1,0,1,1,10,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,"Alabama",0
"98",10098,1,26715,31.25823611,-85.43218611,1,1,2,7,19,6,0,8,0,8,1,0,1,3,10,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,"Alabama",0
"99",10099,1,21705,33.93647222,-87.28287222,1,1,3,4,11,4,0,32,0,1,1,0,4,1,10,1,1,1,2,1,1,1,2,2,2,1,2,3,1,2,2,2,2,2,"Alabama",0
"100",10101,1,20144,34.51690278,-87.65490278,2,2,3,7,4,4,0,1,0,1,1,0,4,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,"Alabama",1
"101",10102,1,25535,32.35867222,-86.24773611,1,1,3,7,3,1,0,25,1,5,1,0,8,3,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"102",10103,1,24023,33.06118056,-87.50944444,2,2,2,7,1,4,0,53,0,1,1,0,4,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,"Alabama",1
"103",10104,1,27349,30.56744167,-87.66604722,3,3,3,5,15,4,0,12,0,2,2,0,1,1,10,2,1,1,2,1,1,2,2,2,2,2,2,3,2,1,2,2,2,2,"Alabama",0
"104",10105,1,19615,34.78616389,-87.69790833,2,2,3,6,99,6,0,42,0,1,1,0,4,2,1,1,1,2,2,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"105",10106,1,26293,31.769225,-88.18656944,1,1,3,2,23,2,0,42,0,1,1,0,4,2,2,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"106",10107,1,22123,33.82046667,-86.80819444,2,2,3,6,0,2,0,12,0,1,1,0,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,3,2,2,2,2,2,2,"Alabama",1
